 1	States	Whole	Off	60	8				
	Beat	1	2	3	4	5	6	7	8
	Gesture	LUL.U	LUR.U	LUL.U	LUR.U	LUL.U	LUR.U	LUL.U	LUR.U
	Weight	W.L.U	W.L.D	W.L.U	W.L.D	W.L.U	W.L.D	W.L.U	W.L.D
2	States	Whole	Off	60	4				
	Beat	1	2	3	4				
	Gesture	L	LR	L	LR				
	Weight	W.L.RU	W.L.LU	W.L.LD	W.L.RD				
3	States	Whole	Off	60	8				
	Beat	1	2	3	4	5	6	7	8
	Gesture	LUL.U	LUR.U	LUL.U	LUR.U	LUL.U	LUR.U	LUL.U	LUR.U
	Weight	W.L.U	W.L.D	W.L.U	W.L.D	W.L.U	W.L.D	W.L.U	W.L.D
4	 States	Whole	Off	60	4				
	Beat	1	2	3	4				
	Gesture	L	LR	L	LR				
	Weight	W.L.RU	W.L.LU	W.L.LD	W.L.RD				
